ID,Name,Manufacturer,Type,Form,Therapy_Area,Pack_Size,Price_INR,Price_Category,Purchase_Channel,Is_Discontinued,Short_Composition1,Short_Composition2,State_Market,Units_2022,Units_2023,Units_2024,YoY_Growth_2023_vs_2022,YoY_Growth_2024_vs_2023,Avg_Annual_Growth_2022_24,Revenue_2022,Revenue_2023,Revenue_2024,Age_Group,Gender
MED0014,Glenmark-ANT-737,Glenmark,Allopathy,Ointment,Anti-diabetic,30,129.84,Low,Hospital,Yes,Azithromycin,Folic Acid,Kerala,12548,13074,14076,4.19%,7.67%,5.93%,1629232.32,1697528.16,1827627.84,13-30 (Young Adult),Female
MED0015,Dr.-VIT-418,Dr. Reddy's,Ayurveda,Capsule,Vitamins,15,1473.67,High,Online,Yes,Atorvastatin,Hydrochloride,Punjab,27866,28498,31922,2.27%,12.02%,7.15%,41065288.22,41996647.66,47042493.74,13-30 (Young Adult),Male
MED0016,Torrent-DER-718,Torrent Pharma,Allopathy,Injection,Dermatology,10,620.91,Medium,Pharmacy Store,No,Paracetamol,Clavulanic Acid,Gujarat,5119,5854,6225,14.36%,6.35%,10.36%,3178438.29,3634807.14,3865164.75,0-12 (Child),Male
MED0017,Sun-ANT-821,Sun Pharma,Allopathy,Syrup,Anti-diabetic,30,1018.49,High,Online,No,Insulin,Magnesium,Rajasthan,10773,11509,11976,6.83%,4.06%,5.45%,10972192.77,11721801.41,12197436.24,51+ (Senior),Male
MED0018,Mankind-CNS-229,Mankind Pharma,Allopathy,Inhaler,CNS,15,137.22,Low,Pharmacy Store,No,Levocetirizine,Magnesium,Kerala,8732,9827,10843,12.54%,10.35%,11.45%,1198205.04,1348460.94,1487876.46,31-50 (Middle Age),Male
MED0019,Cipla-GAS-170,Cipla,Allopathy,Capsule,Gastrointestinal,20,1916.16,High,Pharmacy Store,No,Aspirin,Sulphate,Maharashtra,24274,25657,28600,5.70%,11.47%,8.59%,46512867.84,49162917.12,54802176,31-50 (Middle Age),Male
MED0020,Sun-VIT-234,Sun Pharma,Allopathy,Syrup,Vitamins,10,571.3,Medium,Hospital,No,Amoxicillin,Folic Acid,Uttar Pradesh,15705,17267,18433,9.95%,6.75%,8.35%,8972266.5,9864637.1,10530772.9,51+ (Senior),Male
MED0021,Glenmark-VIT-243,Glenmark,Allopathy,Ointment,Vitamins,60,939.23,High,Hospital,Yes,Paracetamol,Folic Acid,Uttar Pradesh,26671,27587,28639,3.44%,3.81%,3.63%,25050203.33,25910538.01,26898607.97,31-50 (Middle Age),Female
MED0022,Divis-CAR-751,Divis Labs,Allopathy,Tablet,Cardiac,10,1234.19,High,Pharmacy Store,No,Metformin,Calcium,Uttar Pradesh,23684,26075,29104,10.10%,11.62%,10.86%,29230555.96,32181504.25,35919865.76,31-50 (Middle Age),Male
MED0023,Dr.-ANT-476,Dr. Reddy's,Homeopathy,Tablet,Anti-infective,100,854.77,High,Pharmacy Store,Yes,Amoxicillin,Vitamin D3,Uttar Pradesh,17352,18622,21231,7.32%,14.01%,10.67%,14831969.04,15917526.94,18147621.87,31-50 (Middle Age),Male
MED0024,Cipla-DER-527,Cipla,Allopathy,Tablet,Dermatology,10,1488.62,High,Pharmacy Store,No,Azithromycin,Caffeine,Kerala,19212,21429,24295,11.54%,13.38%,12.46%,28599367.44,31899637.98,36166022.9,51+ (Senior),Male
MED0025,Glenmark-CAR-173,Glenmark,Allopathy,Ointment,Cardiac,10,1306.67,High,Hospital,Yes,Metformin,Calcium,West Bengal,17631,18426,20633,4.51%,11.98%,8.25%,23037898.77,24076701.42,26960522.11,13-30 (Young Adult),Female
MED0026,Divis-RES-568,Divis Labs,Allopathy,Inhaler,Respiratory,30,688.14,Medium,Pharmacy Store,No,Levocetirizine,Clavulanic Acid,Punjab,11179,12266,12682,9.73%,3.39%,6.56%,7692717.06,8440725.24,8726991.48,51+ (Senior),Male
MED0027,Biocon-VIT-592,Biocon,Allopathy,Syrup,Vitamins,10,442.3,Medium,Pharmacy Store,Yes,Metformin,Folic Acid,Kerala,29240,32012,33976,9.48%,6.14%,7.81%,12932852,14158907.6,15027584.8,51+ (Senior),Female
MED0028,Glenmark-DER-476,Glenmark,Ayurveda,Syrup,Dermatology,20,459.47,Medium,Pharmacy Store,Yes,Azithromycin,Sulphate,Punjab,15795,17911,20150,13.40%,12.50%,12.95%,7257328.65,8229567.17,9258320.5,13-30 (Young Adult),Male
MED0029,Dr.-RES-552,Dr. Reddy's,Allopathy,Syrup,Respiratory,30,351.54,Medium,Pharmacy Store,Yes,Cetirizine,Zinc,Telangana,24362,25120,26744,3.11%,6.47%,4.79%,8564217.48,8830684.8,9401585.76,13-30 (Young Adult),Male
MED0030,Torrent-DER-493,Torrent Pharma,Allopathy,Capsule,Dermatology,15,1427.32,High,Pharmacy Store,No,Atorvastatin,Hydrochloride,Karnataka,20402,22198,23522,8.81%,5.97%,7.39%,29120182.64,31683649.36,33573421.04,31-50 (Middle Age),Male
MED0031,Alkem-RES-383,Alkem Labs,Allopathy,Tablet,Respiratory,15,1850.74,High,Hospital,Yes,Aspirin,Folic Acid,Telangana,26110,29434,32064,12.73%,8.94%,10.84%,48322821.4,54474681.16,59342127.36,51+ (Senior),Female
MED0032,Torrent-VIT-605,Torrent Pharma,Allopathy,Injection,Vitamins,100,1824.91,High,Pharmacy Store,No,Azithromycin,Folic Acid,Uttar Pradesh,19648,21691,24635,10.40%,13.57%,11.99%,35855831.68,39584122.81,44956657.85,13-30 (Young Adult),Male
MED0033,Cipla-DER-142,Cipla,Allopathy,Syrup,Dermatology,100,372.34,Medium,Hospital,No,Azithromycin,Vitamin D3,Telangana,16174,17535,19019,8.42%,8.47%,8.45%,6022227.16,6528981.9,7081534.46,0-12 (Child),Male
MED0034,Glenmark-RES-514,Glenmark,Allopathy,Tablet,Respiratory,30,1307.98,High,Pharmacy Store,Yes,Paracetamol,Calcium,Tamil Nadu,13559,15254,17023,12.51%,11.60%,12.06%,17734900.82,19951926.92,22265743.54,0-12 (Child),Male
MED0035,Biocon-CNS-218,Biocon,Allopathy,Tablet,CNS,30,662.94,Medium,Pharmacy Store,Yes,Levocetirizine,Vitamin D3,Gujarat,15553,17563,18204,12.93%,3.65%,8.29%,10310705.82,11643215.22,12068159.76,0-12 (Child),Male
MED0036,Glenmark-ANT-831,Glenmark,Allopathy,Injection,Anti-diabetic,10,1126.35,High,Hospital,No,Levocetirizine,Caffeine,Karnataka,16372,18281,19360,11.66%,5.90%,8.78%,18440602.2,20590804.35,21806136,0-12 (Child),Other
MED0037,Torrent-VIT-632,Torrent Pharma,Allopathy,Syrup,Vitamins,60,523.48,Medium,Pharmacy Store,Yes,Insulin,Sulphate,Gujarat,21384,22328,24724,4.42%,10.74%,7.58%,11194096.32,11688261.44,12942519.52,13-30 (Young Adult),Male
MED0038,Lupin-ANT-561,Lupin,Ayurveda,Inhaler,Anti-infective,30,997.08,High,Online,Yes,Paracetamol,Zinc,Punjab,25145,28694,31277,14.12%,9.01%,11.57%,25071576.6,28610213.52,31185671.16,31-50 (Middle Age),Female
MED0039,Abbott-GAS-451,Abbott India,Allopathy,Ointment,Gastrointestinal,30,479.23,Medium,Hospital,No,Atorvastatin,Clavulanic Acid,Gujarat,20606,21826,22263,5.93%,2.00%,3.97%,9875013.38,10459673.98,10669097.49,31-50 (Middle Age),Other
MED0040,Torrent-CNS-417,Torrent Pharma,Allopathy,Injection,CNS,60,536.45,Medium,Hospital,No,Omeprazole,Caffeine,Uttar Pradesh,7942,8250,9412,3.88%,14.08%,8.98%,4260485.9,4425712.5,5049067.4,0-12 (Child),Female
MED0041,Aurobindo-ANT-531,Aurobindo Pharma,Allopathy,Injection,Anti-diabetic,20,1913.43,High,Pharmacy Store,No,Paracetamol,Sulphate,Gujarat,21203,22619,23275,6.68%,2.90%,4.79%,40570456.29,43279873.17,44535083.25,13-30 (Young Adult),Male
MED0042,Lupin-VIT-803,Lupin,Allopathy,Capsule,Vitamins,15,1455.5,High,Online,No,Amoxicillin,None,Punjab,15433,17218,19012,11.57%,10.42%,11.00%,22462731.5,25060799,27671966,31-50 (Middle Age),Female
MED0043,Glenmark-VIT-805,Glenmark,Allopathy,Injection,Vitamins,10,134.28,Low,Pharmacy Store,Yes,Aspirin,None,Punjab,18724,20767,22326,10.91%,7.51%,9.21%,2514258.72,2788592.76,2997935.28,13-30 (Young Adult),Male
MED0044,Mankind-RES-635,Mankind Pharma,Allopathy,Ointment,Respiratory,60,54.63,Low,Online,No,Omeprazole,Zinc,Kerala,8085,9286,9770,14.86%,5.22%,10.04%,441683.55,507294.18,533735.1,13-30 (Young Adult),Male
MED0045,Torrent-CNS-636,Torrent Pharma,Allopathy,Capsule,CNS,20,136.61,Low,Pharmacy Store,No,Atorvastatin,Zinc,Punjab,16819,19296,21200,14.73%,9.87%,12.30%,2297643.59,2636026.56,2896132,51+ (Senior),Male
MED0046,Cipla-ANT-651,Cipla,Allopathy,Ointment,Anti-infective,10,1597.45,High,Pharmacy Store,No,Levocetirizine,Magnesium,Gujarat,18035,20542,21903,13.90%,6.63%,10.27%,28810010.75,32814817.9,34988947.35,51+ (Senior),Male
MED0047,Alkem-CAR-651,Alkem Labs,Allopathy,Capsule,Cardiac,30,134.76,Low,Online,No,Insulin,Calcium,Tamil Nadu,15448,17057,18482,10.42%,8.36%,9.39%,2081772.48,2298601.32,2490634.32,0-12 (Child),Female
MED0048,Alkem-ANT-935,Alkem Labs,Allopathy,Syrup,Anti-infective,30,520.68,Medium,Pharmacy Store,No,Metformin,Sulphate,West Bengal,23755,25343,26663,6.69%,5.21%,5.95%,12368753.4,13195593.24,13882890.84,51+ (Senior),Female
MED0049,Abbott-CAR-897,Abbott India,Allopathy,Syrup,Cardiac,10,134.32,Low,Pharmacy Store,Yes,Atorvastatin,Hydrochloride,Tamil Nadu,15879,17336,19288,9.18%,11.26%,10.22%,2132867.28,2328571.52,2590764.16,31-50 (Middle Age),Female
MED0050,Sun-RES-350,Sun Pharma,Allopathy,Syrup,Respiratory,60,1256.13,High,Online,No,Metformin,Folic Acid,Kerala,22101,25161,28328,13.85%,12.59%,13.22%,27761729.13,31605486.93,35583650.64,31-50 (Middle Age),Female
MED0051,Cipla-ANT-302,Cipla,Ayurveda,Ointment,Anti-diabetic,100,405.72,Medium,Pharmacy Store,No,Paracetamol,Zinc,West Bengal,5698,6304,6800,10.64%,7.88%,9.26%,2311792.56,2557658.88,2758896,0-12 (Child),Female
MED0052,Aurobindo-CAR-746,Aurobindo Pharma,Allopathy,Ointment,Cardiac,60,1751.86,High,Pharmacy Store,Yes,Levocetirizine,Sulphate,Punjab,17822,18871,20900,5.89%,10.76%,8.33%,31221648.92,33059350.06,36613874,31-50 (Middle Age),Male
MED0053,Abbott-ANT-858,Abbott India,Allopathy,Capsule,Anti-diabetic,100,519.39,Medium,Pharmacy Store,No,Amoxicillin,Vitamin D3,Kerala,29038,30384,31438,4.64%,3.47%,4.06%,15082046.82,15781145.76,16328582.82,0-12 (Child),Female
MED0054,Zydus-ANT-299,Zydus Lifesciences,Ayurveda,Capsule,Anti-diabetic,10,642.82,Medium,Pharmacy Store,Yes,Atorvastatin,Hydrochloride,Gujarat,10913,11170,12007,2.36%,7.49%,4.93%,7015094.66,7180299.4,7718339.74,31-50 (Middle Age),Other
MED0055,Mankind-GAS-531,Mankind Pharma,Allopathy,Injection,Gastrointestinal,60,158.93,Low,Pharmacy Store,Yes,Atorvastatin,Zinc,Maharashtra,14965,15572,16012,4.06%,2.83%,3.45%,2378387.45,2474857.96,2544787.16,13-30 (Young Adult),Male
MED0056,Cipla-ANT-940,Cipla,Allopathy,Inhaler,Anti-diabetic,20,889.5,High,Hospital,Yes,Levocetirizine,Vitamin D3,Punjab,18133,19909,22643,9.80%,13.73%,11.77%,16129303.5,17709055.5,20140948.5,13-30 (Young Adult),Male
MED0057,Glenmark-ANT-124,Glenmark,Allopathy,Tablet,Anti-infective,10,1076.13,High,Pharmacy Store,No,Amoxicillin,Sulphate,Karnataka,20140,21643,23916,7.47%,10.51%,8.99%,21673258.2,23290681.59,25736725.08,51+ (Senior),Female
MED0058,Cipla-CNS-789,Cipla,Allopathy,Capsule,CNS,10,1638.92,High,Hospital,Yes,Amoxicillin,Folic Acid,Gujarat,19462,21858,22947,12.31%,4.99%,8.65%,31896661.04,35823513.36,37608297.24,13-30 (Young Adult),Female
MED0059,Biocon-ANT-627,Biocon,Allopathy,Injection,Anti-infective,20,1551.9,High,Online,No,Atorvastatin,Magnesium,Uttar Pradesh,25639,27546,31555,7.44%,14.55%,11.00%,39789164.1,42748637.4,48970204.5,31-50 (Middle Age),Female
MED0060,Sun-GAS-285,Sun Pharma,Allopathy,Tablet,Gastrointestinal,30,330.76,Medium,Pharmacy Store,No,Cetirizine,Vitamin D3,West Bengal,5927,6337,7212,6.93%,13.81%,10.37%,1960414.52,2096026.12,2385441.12,13-30 (Young Adult),Male
MED0061,Torrent-VIT-115,Torrent Pharma,Allopathy,Tablet,Vitamins,20,470.57,Medium,Online,Yes,Insulin,Magnesium,Kerala,26749,29957,31820,11.99%,6.22%,9.11%,12587276.93,14096865.49,14973537.4,0-12 (Child),Male
MED0062,Torrent-GAS-364,Torrent Pharma,Allopathy,Syrup,Gastrointestinal,20,343.72,Medium,Pharmacy Store,Yes,Amoxicillin,Zinc,Karnataka,21722,23213,25693,6.87%,10.69%,8.78%,7466285.84,7978772.36,8831197.96,31-50 (Middle Age),Female
MED0063,Zydus-ANT-542,Zydus Lifesciences,Ayurveda,Inhaler,Anti-infective,15,956.92,High,Hospital,No,Atorvastatin,Hydrochloride,Gujarat,24136,25160,26209,4.24%,4.17%,4.21%,23096221.12,24076107.2,25079916.28,31-50 (Middle Age),Female
MED0064,Biocon-CAR-464,Biocon,Allopathy,Injection,Cardiac,100,1744.85,High,Hospital,Yes,Atorvastatin,Calcium,Telangana,27892,28536,30123,2.31%,5.56%,3.94%,48667356.2,49791039.6,52560116.55,31-50 (Middle Age),Male
MED0065,Zydus-VIT-645,Zydus Lifesciences,Allopathy,Injection,Vitamins,10,1902.31,High,Pharmacy Store,No,Levocetirizine,Folic Acid,Tamil Nadu,20184,21240,23501,5.23%,10.65%,7.94%,38396225.04,40405064.4,44706187.31,13-30 (Young Adult),Male
MED0066,Divis-CNS-123,Divis Labs,Allopathy,Injection,CNS,10,1034.56,High,Pharmacy Store,Yes,Atorvastatin,Calcium,Rajasthan,22952,25252,26710,10.02%,5.77%,7.90%,23745221.12,26124709.12,27633097.6,51+ (Senior),Male
MED0067,Lupin-RES-111,Lupin,Allopathy,Capsule,Respiratory,10,1778.61,High,Hospital,No,Omeprazole,Calcium,Uttar Pradesh,26729,28795,30308,7.73%,5.25%,6.49%,47540466.69,51215074.95,53906111.88,31-50 (Middle Age),Male
MED0068,Aurobindo-CNS-681,Aurobindo Pharma,Allopathy,Injection,CNS,10,681.05,Medium,Pharmacy Store,No,Metformin,None,Kerala,28407,32495,33599,14.39%,3.40%,8.90%,19346587.35,22130719.75,22882598.95,51+ (Senior),Male
MED0069,Glenmark-ANT-263,Glenmark,Allopathy,Tablet,Anti-infective,30,365.77,Medium,Pharmacy Store,No,Amoxicillin,Folic Acid,Punjab,14637,15547,17532,6.22%,12.77%,9.50%,5353775.49,5686626.19,6412679.64,0-12 (Child),Female
MED0070,Abbott-CNS-530,Abbott India,Allopathy,Injection,CNS,20,1105.2,High,Pharmacy Store,No,Azithromycin,Calcium,Uttar Pradesh,24672,27543,29891,11.64%,8.53%,10.09%,27267494.4,30440523.6,33035533.2,31-50 (Middle Age),Female
MED0071,Aurobindo-ANT-390,Aurobindo Pharma,Allopathy,Inhaler,Anti-diabetic,100,1564.42,High,Online,No,Paracetamol,Caffeine,Tamil Nadu,19574,21254,24393,8.58%,14.77%,11.68%,30621957.08,33250182.68,38160897.06,51+ (Senior),Male
MED0072,Abbott-ANT-800,Abbott India,Allopathy,Capsule,Anti-infective,30,1227.2,High,Pharmacy Store,Yes,Cetirizine,Zinc,Maharashtra,6351,6707,7263,5.62%,8.29%,6.96%,7793947.2,8230830.4,8913153.6,13-30 (Young Adult),Male
MED0073,Abbott-CAR-329,Abbott India,Homeopathy,Syrup,Cardiac,30,1723.95,High,Pharmacy Store,No,Omeprazole,Sulphate,Maharashtra,7299,8215,9440,12.55%,14.92%,13.74%,12583111.05,14162249.25,16274088,13-30 (Young Adult),Male
MED0074,Aurobindo-DER-247,Aurobindo Pharma,Allopathy,Inhaler,Dermatology,15,1192.34,High,Hospital,Yes,Paracetamol,Magnesium,West Bengal,9005,9308,10408,3.37%,11.82%,7.60%,10737021.7,11098300.72,12409874.72,13-30 (Young Adult),Male
MED0075,Alkem-ANT-258,Alkem Labs,Allopathy,Tablet,Anti-diabetic,10,1127.13,High,Pharmacy Store,No,Aspirin,Hydrochloride,West Bengal,9941,10548,10797,6.11%,2.36%,4.24%,11204799.33,11888967.24,12169622.61,0-12 (Child),Male
MED0076,Alkem-VIT-529,Alkem Labs,Allopathy,Inhaler,Vitamins,20,1183.71,High,Online,Yes,Omeprazole,Hydrochloride,Tamil Nadu,10730,12330,12857,14.92%,4.28%,9.60%,12701208.3,14595144.3,15218959.47,13-30 (Young Adult),Male
MED0077,Alkem-GAS-739,Alkem Labs,Allopathy,Syrup,Gastrointestinal,20,446.66,Medium,Hospital,No,Omeprazole,Magnesium,Kerala,21149,23271,24167,10.04%,3.85%,6.95%,9446412.34,10394224.86,10794432.22,0-12 (Child),Female
MED0078,Divis-ANT-345,Divis Labs,Allopathy,Inhaler,Anti-diabetic,15,1396.1,High,Pharmacy Store,Yes,Levocetirizine,Sulphate,Maharashtra,16123,16883,17379,4.72%,2.94%,3.83%,22509320.3,23570356.3,24262821.9,31-50 (Middle Age),Female
MED0079,Glenmark-ANT-127,Glenmark,Allopathy,Syrup,Anti-diabetic,60,771.37,Medium,Online,Yes,Metformin,Sulphate,Punjab,18317,20761,21265,13.34%,2.43%,7.89%,14129184.29,16014412.57,16403183.05,0-12 (Child),Female
MED0080,Mankind-DER-264,Mankind Pharma,Allopathy,Tablet,Dermatology,60,206.62,Medium,Pharmacy Store,Yes,Cetirizine,Folic Acid,Rajasthan,6224,6925,7310,11.28%,5.57%,8.43%,1286002.88,1430843.5,1510392.2,0-12 (Child),Male
MED0081,Zydus-ANT-236,Zydus Lifesciences,Allopathy,Syrup,Anti-infective,10,1656.17,High,Online,Yes,Aspirin,Magnesium,Tamil Nadu,12862,13166,14539,2.36%,10.43%,6.40%,21301658.54,21805134.22,24079055.63,13-30 (Young Adult),Female
MED0082,Alkem-ANT-254,Alkem Labs,Allopathy,Syrup,Anti-infective,20,581.32,Medium,Pharmacy Store,Yes,Azithromycin,Vitamin D3,Telangana,19030,20559,23524,8.04%,14.42%,11.23%,11062519.6,11951357.88,13674971.68,13-30 (Young Adult),Male
MED0083,Aurobindo-ANT-478,Aurobindo Pharma,Allopathy,Capsule,Anti-infective,60,1480.43,High,Online,Yes,Aspirin,Vitamin D3,Gujarat,23708,24462,25160,3.18%,2.85%,3.02%,35098034.44,36214278.66,37247618.8,31-50 (Middle Age),Male
MED0084,Aurobindo-VIT-934,Aurobindo Pharma,Allopathy,Ointment,Vitamins,100,1347.01,High,Pharmacy Store,No,Omeprazole,Caffeine,Gujarat,21138,23738,25422,12.30%,7.10%,9.70%,28473097.38,31975323.38,34243688.22,51+ (Senior),Female
MED0085,Mankind-VIT-811,Mankind Pharma,Allopathy,Inhaler,Vitamins,20,544.23,Medium,Hospital,No,Cetirizine,Calcium,Karnataka,5019,5168,5458,2.99%,5.62%,4.31%,2731490.37,2812580.64,2970407.34,51+ (Senior),Male
MED0086,Torrent-ANT-220,Torrent Pharma,Allopathy,Inhaler,Anti-diabetic,20,1813.38,High,Online,No,Azithromycin,Magnesium,Telangana,22564,24116,25431,6.88%,5.45%,6.17%,40917106.32,43731472.08,46116066.78,13-30 (Young Adult),Male
MED0087,Alkem-ANT-326,Alkem Labs,Allopathy,Syrup,Anti-infective,30,1139.61,High,Pharmacy Store,Yes,Metformin,Vitamin D3,Uttar Pradesh,15819,17064,19096,7.87%,11.91%,9.89%,18027490.59,19446305.04,21761992.56,51+ (Senior),Female
MED0088,Sun-VIT-915,Sun Pharma,Allopathy,Injection,Vitamins,15,1296.68,High,Pharmacy Store,No,Insulin,None,Karnataka,25487,26384,28865,3.52%,9.40%,6.46%,33048483.16,34211605.12,37428668.2,31-50 (Middle Age),Male
MED0089,Abbott-CAR-565,Abbott India,Allopathy,Capsule,Cardiac,20,1227.43,High,Pharmacy Store,Yes,Atorvastatin,None,Maharashtra,23250,26380,29583,13.47%,12.14%,12.81%,28537747.5,32379603.4,36311061.69,13-30 (Young Adult),Male
MED0090,Aurobindo-CNS-766,Aurobindo Pharma,Allopathy,Syrup,CNS,30,1320.21,High,Pharmacy Store,Yes,Azithromycin,None,Telangana,23574,24139,26082,2.40%,8.05%,5.23%,31122630.54,31868549.19,34433717.22,0-12 (Child),Male
MED0091,Biocon-CAR-854,Biocon,Allopathy,Syrup,Cardiac,10,1980.79,High,Pharmacy Store,No,Metformin,Caffeine,Karnataka,17387,18048,20437,3.81%,13.24%,8.53%,34439995.73,35749297.92,40481405.23,31-50 (Middle Age),Male
MED0092,Cipla-ANT-829,Cipla,Allopathy,Inhaler,Anti-infective,15,147.73,Low,Online,No,Levocetirizine,Vitamin D3,Rajasthan,15981,16866,18165,5.54%,7.71%,6.63%,2360873.13,2491614.18,2683515.45,51+ (Senior),Male
MED0093,Lupin-RES-605,Lupin,Allopathy,Syrup,Respiratory,30,223.97,Medium,Hospital,Yes,Azithromycin,Caffeine,West Bengal,11276,12374,13391,9.74%,8.22%,8.98%,2525485.72,2771404.78,2999182.27,13-30 (Young Adult),Male
MED0094,Biocon-ANT-103,Biocon,Allopathy,Inhaler,Anti-diabetic,30,1762.61,High,Pharmacy Store,Yes,Aspirin,None,Maharashtra,21230,22052,24790,3.87%,12.42%,8.15%,37420210.3,38869075.72,43695101.9,51+ (Senior),Female
MED0095,Aurobindo-GAS-531,Aurobindo Pharma,Allopathy,Tablet,Gastrointestinal,30,272.66,Medium,Pharmacy Store,Yes,Atorvastatin,Hydrochloride,West Bengal,25480,27664,30930,8.57%,11.81%,10.19%,6947376.8,7542866.24,8433373.8,51+ (Senior),Male
MED0096,Glenmark-ANT-641,Glenmark,Allopathy,Capsule,Anti-infective,20,962.42,High,Pharmacy Store,No,Paracetamol,Folic Acid,Telangana,9747,10418,10681,6.89%,2.53%,4.71%,9380707.74,10026491.56,10279608.02,31-50 (Middle Age),Male
MED0097,Divis-CAR-283,Divis Labs,Allopathy,Inhaler,Cardiac,10,1878.32,High,Hospital,No,Paracetamol,Magnesium,Rajasthan,15287,17492,18821,14.43%,7.60%,11.02%,28713877.84,32855573.44,35351860.72,13-30 (Young Adult),Female
MED0098,Biocon-CAR-467,Biocon,Allopathy,Tablet,Cardiac,15,1249.75,High,Hospital,Yes,Azithromycin,Folic Acid,Kerala,27695,28651,32827,3.45%,14.58%,9.02%,34611826.25,35806587.25,41025543.25,31-50 (Middle Age),Female
MED0099,Aurobindo-DER-512,Aurobindo Pharma,Allopathy,Capsule,Dermatology,15,656.69,Medium,Online,No,Levocetirizine,None,Rajasthan,5520,6028,6677,9.21%,10.78%,10.00%,3624928.8,3958527.32,4384719.13,13-30 (Young Adult),Male
MED0100,Mankind-DER-450,Mankind Pharma,Allopathy,Injection,Dermatology,100,1613.95,High,Pharmacy Store,Yes,Aspirin,Sulphate,West Bengal,29343,33573,35008,14.42%,4.27%,9.35%,47358134.85,54185143.35,56501161.6,0-12 (Child),Male
MED0101,Sun-GAS-494,Sun Pharma,Allopathy,Capsule,Gastrointestinal,60,1717.58,High,Online,No,Paracetamol,Sulphate,Maharashtra,22900,24075,27278,5.13%,13.30%,9.22%,39332582,41350738.5,46852147.24,31-50 (Middle Age),Female
