ID,Name,Manufacturer,Type,Form,Therapy_Area,Pack_Size,Price_INR,Is_Discontinued,Short_Composition1,Short_Composition2,State_Market,Zone,Urban_Rural,Age_Group,Gender,Prescription_Type,Purchase_Channel,Insurance_Covered,Market_Share_%,Customer_Rating,Return_Rate_%,Units_2022,Units_2023,Units_2024,YoY_Growth_2023_vs_2022,YoY_Growth_2024_vs_2023,Avg_Annual_Growth_2022_24,Revenue_2022,Revenue_2023,Revenue_2024
MED0040,Lupin-ANT-227,Lupin,Allopathy,Injection,Anti-infective,100,1158.92,No,Omeprazole,Magnesium,Gujarat,West,Urban,0-12 (Child),Female,RX (Prescription),Hospital,No,0.48,4.3,1.71,28869,30685,32102,0.0629,0.0462,0.0545,33456861.48,35561460.2,37203649.84
MED0041,Sun-GAS-110,Sun Pharma,Allopathy,Syrup,Gastrointestinal,15,643.68,No,Cetirizine,Folic Acid,Tamil Nadu,South,Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,3.01,4.9,0.3,14096,15186,15950,0.0773,0.0503,0.0637,9073313.28,9774924.48,10266696.0
MED0042,Cipla-ANT-708,Cipla,Allopathy,Inhaler,Anti-infective,100,179.67,Yes,Azithromycin,Hydrochloride,Punjab,North,Urban,31-50 (Middle Age),Female,RX (Prescription),Online,No,4.79,3.5,0.49,24938,26471,27382,0.0615,0.0344,0.0479,4480610.46,4756044.57,4919723.94
MED0043,Cipla-CNS-936,Cipla,Allopathy,Tablet,CNS,15,1507.96,Yes,Levocetirizine,None,Tamil Nadu,South,Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,3.03,5.0,2.59,5606,6180,6379,0.1025,0.0324,0.0667,8453623.76,9319192.8,9619276.84
MED0044,Lupin-ANT-739,Lupin,Allopathy,Capsule,Anti-diabetic,30,1772.68,No,Atorvastatin,Calcium,Tamil Nadu,South,Urban,13-30 (Young Adult),Male,RX (Prescription),Online,No,3.94,4.2,2.69,18984,20557,23493,0.0829,0.1429,0.1124,33652557.12,36440982.76,41645571.24
MED0045,Dr.-VIT-864,Dr. Reddy's,Homeopathy,Syrup,Vitamins,20,1262.48,Yes,Azithromycin,Folic Acid,Karnataka,South,Semi-Urban,51+ (Senior),Male,RX (Prescription),Pharmacy Store,No,0.51,3.4,0.86,17507,17936,19690,0.0245,0.0978,0.0605,22102237.36,22643841.28,24858231.2
MED0046,Divis-VIT-711,Divis Labs,Allopathy,Ointment,Vitamins,100,1199.65,Yes,Omeprazole,Clavulanic Acid,Maharashtra,West,Urban,51+ (Senior),Male,RX (Prescription),Pharmacy Store,No,3.04,3.1,0.46,26454,28146,31042,0.064,0.1029,0.0833,31735541.1,33765348.9,37239535.3
MED0047,Mankind-VIT-165,Mankind Pharma,Allopathy,Ointment,Vitamins,20,1351.38,Yes,Omeprazole,Caffeine,West Bengal,East,Urban,0-12 (Child),Female,RX (Prescription),Online,No,2.41,3.4,2.58,14893,16039,17595,0.077,0.0971,0.0869,20126102.34,21674783.82,23777531.1
MED0048,Cipla-GAS-752,Cipla,Allopathy,Syrup,Gastrointestinal,20,1312.39,Yes,Amoxicillin,Sulphate,Kerala,South,Semi-Urban,51+ (Senior),Female,RX (Prescription),Pharmacy Store,Yes,4.26,3.1,0.26,12595,12905,13302,0.0246,0.0308,0.0277,16529552.05,16936392.95,17457411.78
MED0049,Lupin-DER-815,Lupin,Allopathy,Injection,Dermatology,30,1134.2,Yes,Cetirizine,None,Gujarat,West,Urban,31-50 (Middle Age),Female,RX (Prescription),Pharmacy Store,No,0.4,3.6,1.92,21573,23012,24495,0.0667,0.0645,0.0656,24468096.6,26100210.4,27782229.0
MED0050,Aurobindo-DER-521,Aurobindo Pharma,Allopathy,Inhaler,Dermatology,15,1078.69,No,Metformin,Zinc,West Bengal,East,Urban,31-50 (Middle Age),Female,RX (Prescription),Online,Yes,1.0,4.1,1.58,10226,10956,11939,0.0714,0.0897,0.0805,11030683.94,11818127.64,12878479.91
MED0051,Abbott-ANT-762,Abbott India,Ayurveda,Tablet,Anti-diabetic,100,1171.48,Yes,Cetirizine,None,West Bengal,East,Semi-Urban,0-12 (Child),Female,RX (Prescription),Pharmacy Store,Yes,2.65,4.3,1.64,15224,15553,17866,0.0216,0.1487,0.0833,17834611.52,18220028.44,20929661.68
MED0052,Zydus-RES-802,Zydus Lifesciences,Allopathy,Syrup,Respiratory,15,1047.13,No,Atorvastatin,Vitamin D3,Maharashtra,West,Urban,31-50 (Middle Age),Male,RX (Prescription),Pharmacy Store,No,3.59,4.8,0.75,20458,22916,24689,0.1201,0.0774,0.0986,21422185.54,23996031.08,25852592.57
MED0053,Cipla-ANT-119,Cipla,Allopathy,Tablet,Anti-infective,30,826.68,No,Aspirin,Vitamin D3,Kerala,South,Urban,0-12 (Child),Female,RX (Prescription),Pharmacy Store,No,1.12,3.5,0.97,23666,25278,26465,0.0682,0.047,0.0575,19564208.88,20896817.04,21878086.2
MED0054,Aurobindo-VIT-746,Aurobindo Pharma,Allopathy,Ointment,Vitamins,20,404.83,Yes,Aspirin,Caffeine,Gujarat,West,Urban,31-50 (Middle Age),Other,RX (Prescription),Pharmacy Store,No,1.85,3.8,2.95,15002,15561,17661,0.0373,0.135,0.085,6073259.66,6299559.63,7149702.63
MED0055,Biocon-VIT-148,Biocon,Allopathy,Injection,Vitamins,15,1546.4,Yes,Azithromycin,Magnesium,Karnataka,South,Rural,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,1.66,3.2,2.03,22408,23092,24312,0.0306,0.0529,0.0416,34651731.2,35709468.8,37596076.8
MED0056,Glenmark-RES-579,Glenmark,Allopathy,Inhaler,Respiratory,15,1024.25,No,Metformin,Hydrochloride,Telangana,South,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Hospital,No,3.25,4.0,1.08,20455,21064,22537,0.0298,0.0699,0.0497,20951033.75,21574802.0,23083522.25
MED0057,Cipla-VIT-779,Cipla,Allopathy,Injection,Vitamins,100,1144.42,Yes,Azithromycin,Hydrochloride,Uttar Pradesh,North,Rural,51+ (Senior),Female,OTC (Over the Counter),Pharmacy Store,Yes,2.43,3.9,2.91,25093,27258,30605,0.0863,0.1228,0.1044,28716931.06,31194600.36,35024974.1
MED0058,Glenmark-CAR-236,Glenmark,Allopathy,Syrup,Cardiac,20,701.69,Yes,Cetirizine,Caffeine,Kerala,South,Semi-Urban,13-30 (Young Adult),Female,RX (Prescription),Hospital,Yes,1.95,4.5,0.05,11819,13451,14945,0.1381,0.1111,0.1245,8293274.11,9438432.19,10486757.05
MED0059,Biocon-ANT-597,Biocon,Allopathy,Tablet,Anti-infective,60,776.54,No,Cetirizine,Sulphate,Rajasthan,North,Semi-Urban,31-50 (Middle Age),Female,RX (Prescription),Online,Yes,1.69,4.9,0.71,19919,21318,23952,0.0702,0.1236,0.0966,15467900.26,16554279.72,18599686.08
MED0060,Zydus-DER-756,Zydus Lifesciences,Allopathy,Injection,Dermatology,100,1207.18,No,Levocetirizine,Calcium,Uttar Pradesh,North,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,No,5.0,4.2,2.27,29228,31418,32556,0.075,0.0362,0.0554,35283457.04,37927181.24,39300952.08
MED0061,Dr.-ANT-404,Dr. Reddy's,Allopathy,Tablet,Anti-infective,60,172.0,Yes,Paracetamol,Folic Acid,Tamil Nadu,South,Urban,0-12 (Child),Male,RX (Prescription),Online,No,0.85,3.1,2.22,23735,26316,26980,0.1088,0.0252,0.0662,4082420.0,4526352.0,4640560.0
MED0062,Sun-ANT-870,Sun Pharma,Allopathy,Injection,Anti-diabetic,30,1852.5,Yes,Metformin,Caffeine,Maharashtra,West,Urban,31-50 (Middle Age),Female,OTC (Over the Counter),Pharmacy Store,No,4.95,4.5,2.55,13611,14308,16160,0.0512,0.1295,0.0896,25214377.5,26505570.0,29936400.0
MED0063,Divis-CAR-675,Divis Labs,Allopathy,Ointment,Cardiac,20,422.87,No,Cetirizine,Magnesium,Telangana,South,Urban,31-50 (Middle Age),Female,OTC (Over the Counter),Hospital,Yes,1.07,4.3,0.1,18984,20053,21660,0.0564,0.0802,0.0682,8027764.08,8479812.11,9159364.2
MED0064,Aurobindo-VIT-794,Aurobindo Pharma,Allopathy,Syrup,Vitamins,15,1663.78,Yes,Metformin,None,Gujarat,West,Urban,31-50 (Middle Age),Male,RX (Prescription),Hospital,Yes,3.25,4.3,1.39,16547,17361,18513,0.0492,0.0664,0.0577,27530567.66,28884884.58,30801559.14
MED0065,Alkem-CAR-747,Alkem Labs,Ayurveda,Ointment,Cardiac,30,1205.6,Yes,Aspirin,Vitamin D3,Gujarat,West,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,3.02,4.1,2.68,27739,28730,29610,0.0357,0.0307,0.0332,33442138.4,34636888.0,35697816.0
MED0066,Aurobindo-ANT-949,Aurobindo Pharma,Allopathy,Injection,Anti-diabetic,30,811.55,Yes,Aspirin,Clavulanic Acid,West Bengal,East,Urban,51+ (Senior),Male,RX (Prescription),Pharmacy Store,No,4.09,4.8,1.72,28466,32301,33629,0.1347,0.0411,0.0869,23101582.3,26213876.55,27291614.95
MED0067,Zydus-CAR-526,Zydus Lifesciences,Allopathy,Inhaler,Cardiac,20,1494.15,No,Levocetirizine,Hydrochloride,Tamil Nadu,South,Rural,31-50 (Middle Age),Male,RX (Prescription),Hospital,No,3.56,3.2,1.34,8372,8541,8900,0.0202,0.0421,0.0311,12509023.8,12761535.15,13297935.0
MED0068,Aurobindo-CAR-901,Aurobindo Pharma,Allopathy,Inhaler,Cardiac,30,1853.38,No,Levocetirizine,Magnesium,Kerala,South,Semi-Urban,51+ (Senior),Male,RX (Prescription),Pharmacy Store,No,2.47,4.3,1.2,22852,26020,29423,0.1387,0.1308,0.1347,42353439.76,48224947.6,54531999.74
MED0069,Lupin-CAR-312,Lupin,Allopathy,Ointment,Cardiac,30,40.84,Yes,Levocetirizine,Zinc,Gujarat,West,Urban,0-12 (Child),Female,OTC (Over the Counter),Pharmacy Store,Yes,2.47,4.8,2.32,15197,15885,16735,0.0453,0.0536,0.0494,620645.48,648743.4,683457.4
MED0070,Glenmark-RES-790,Glenmark,Homeopathy,Capsule,Respiratory,60,62.28,Yes,Cetirizine,Sulphate,Uttar Pradesh,North,Urban,31-50 (Middle Age),Female,RX (Prescription),Pharmacy Store,No,3.55,3.4,2.01,26273,29678,33905,0.1296,0.1424,0.136,1636282.44,1848345.84,2111603.4
MED0071,Aurobindo-CNS-562,Aurobindo Pharma,Allopathy,Inhaler,CNS,20,423.45,Yes,Insulin,Magnesium,Tamil Nadu,South,Urban,51+ (Senior),Male,OTC (Over the Counter),Online,Yes,0.19,4.4,1.25,16878,17473,19793,0.0353,0.1328,0.0829,7146989.1,7398941.85,8381345.85
MED0072,Lupin-RES-945,Lupin,Allopathy,Capsule,Respiratory,15,621.78,Yes,Omeprazole,Vitamin D3,West Bengal,East,Semi-Urban,13-30 (Young Adult),Male,OTC (Over the Counter),Pharmacy Store,No,1.87,4.2,0.33,21769,22241,22965,0.0217,0.0326,0.0271,13535528.82,13829008.98,14279177.7
MED0073,Dr.-DER-929,Dr. Reddy's,Allopathy,Tablet,Dermatology,30,395.19,Yes,Omeprazole,Hydrochloride,Uttar Pradesh,North,Rural,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,Yes,4.68,3.3,1.7,19142,21801,23073,0.139,0.0584,0.0979,7564726.98,8615537.19,9118218.87
MED0074,Mankind-GAS-341,Mankind Pharma,Homeopathy,Tablet,Gastrointestinal,60,1122.49,No,Omeprazole,Sulphate,Maharashtra,West,Semi-Urban,13-30 (Young Adult),Male,RX (Prescription),Hospital,No,4.34,4.9,2.91,5129,5515,5968,0.0754,0.0823,0.0787,5757251.21,6190532.35,6699020.32
MED0075,Biocon-ANT-145,Biocon,Allopathy,Inhaler,Anti-infective,60,762.79,Yes,Omeprazole,Calcium,Rajasthan,North,Urban,0-12 (Child),Male,RX (Prescription),Pharmacy Store,No,1.84,4.2,2.64,24433,25085,28502,0.0267,0.1362,0.0801,18637248.07,19134587.15,21741040.58
MED0076,Mankind-ANT-701,Mankind Pharma,Allopathy,Injection,Anti-infective,30,742.98,No,Insulin,Zinc,Telangana,South,Urban,13-30 (Young Adult),Male,RX (Prescription),Online,No,2.11,3.9,0.36,25994,28363,29220,0.0911,0.0302,0.0602,19313022.12,21073141.74,21709875.6
MED0077,Alkem-VIT-976,Alkem Labs,Allopathy,Inhaler,Vitamins,30,109.77,No,Paracetamol,Magnesium,Tamil Nadu,South,Urban,0-12 (Child),Female,RX (Prescription),Hospital,Yes,3.35,3.6,2.13,21204,24327,27469,0.1473,0.1292,0.1382,2327563.08,2670374.79,3015272.13
MED0078,Divis-ANT-830,Divis Labs,Homeopathy,Inhaler,Anti-diabetic,20,1473.75,Yes,Levocetirizine,None,Rajasthan,North,Urban,31-50 (Middle Age),Female,RX (Prescription),Pharmacy Store,Yes,4.43,4.4,0.58,28523,31669,34668,0.1103,0.0947,0.1025,42035771.25,46672188.75,51091965.0
MED0079,Mankind-ANT-139,Mankind Pharma,Allopathy,Tablet,Anti-diabetic,20,950.56,Yes,Atorvastatin,Folic Acid,West Bengal,East,Semi-Urban,0-12 (Child),Female,RX (Prescription),Online,Yes,3.74,4.2,2.07,15561,15936,18180,0.0241,0.1409,0.0809,14791664.16,15148124.16,17281180.8
MED0080,Glenmark-ANT-806,Glenmark,Allopathy,Injection,Anti-infective,100,1093.59,No,Paracetamol,Caffeine,Uttar Pradesh,North,Urban,0-12 (Child),Male,RX (Prescription),Pharmacy Store,No,3.5,3.1,1.9,29893,32902,33634,0.1007,0.0223,0.0607,32690685.87,35981298.18,36781806.06
MED0081,Aurobindo-DER-811,Aurobindo Pharma,Allopathy,Ointment,Dermatology,10,427.41,No,Amoxicillin,Magnesium,Uttar Pradesh,North,Rural,13-30 (Young Adult),Female,RX (Prescription),Online,Yes,4.38,4.8,0.41,28294,31161,32179,0.1014,0.0327,0.0664,12093138.54,13318523.01,13753626.39
MED0082,Alkem-DER-490,Alkem Labs,Allopathy,Syrup,Dermatology,10,1008.41,No,Azithromycin,Vitamin D3,Rajasthan,North,Rural,13-30 (Young Adult),Male,RX (Prescription),Pharmacy Store,No,2.03,3.8,0.63,26511,29968,31158,0.1304,0.0397,0.0841,26733957.51,30220030.88,31420038.78
